config,rate,n,roundtrip_fail_frac,mse_global_rgb_mean,mse_global_r_mean,mse_global_g_mean,mse_global_b_mean,mse_global_y_mean,mse_region_rgb_mean,mse_region_r_mean,mse_region_g_mean,mse_region_b_mean,mse_region_y_mean,psnr_global_rgb_mean,psnr_global_r_mean,psnr_global_g_mean,psnr_global_b_mean,psnr_global_y_mean,psnr_region_rgb_mean,psnr_region_r_mean,psnr_region_g_mean,psnr_region_b_mean,psnr_region_y_mean,ssim_global_chan_mean,ssim_global_y_mean,ssim_region_chan_mean,ssim_region_y_mean,mse_global_rgb_std,mse_global_r_std,mse_global_g_std,mse_global_b_std,mse_global_y_std,mse_region_rgb_std,mse_region_r_std,mse_region_g_std,mse_region_b_std,mse_region_y_std,psnr_global_rgb_std,psnr_global_r_std,psnr_global_g_std,psnr_global_b_std,psnr_global_y_std,psnr_region_rgb_std,psnr_region_r_std,psnr_region_g_std,psnr_region_b_std,psnr_region_y_std,ssim_global_chan_std,ssim_global_y_std,ssim_region_chan_std,ssim_region_y_std,psnr_global_rgb_delta,psnr_region_rgb_delta,ssim_global_chan_delta
p1,0.05,500,0.172,0.024852,0.024696,0.02487,0.024989,0.017947,0.498987,0.495864,0.499349,0.501748,0.360348,64.178802,64.235167,64.174898,64.156227,65.593627,51.151504,51.207869,51.1476,51.128929,52.566329,0.99986,0.999893,0.99986,0.999893,0.000633,0.001646,0.000482,0.000917,0.000584,0.012714,0.033058,0.009685,0.01841,0.011729,0.121502,0.72558,0.08612,0.162407,0.161798,0.121502,0.72558,0.08612,0.162407,0.161798,8.7e-05,6.4e-05,8.7e-05,6.4e-05,0.000283,0.000282,-6.2e-05
p1,0.1,500,0.196,0.049664,0.049377,0.049702,0.049912,0.035872,0.498586,0.495707,0.498973,0.501079,0.360124,61.171931,61.22539,61.167612,61.151476,62.58579,51.154933,51.208392,51.150615,51.134478,52.568792,0.999726,0.999793,0.999726,0.999793,0.001234,0.003223,0.000798,0.001732,0.001106,0.012384,0.032357,0.00801,0.017388,0.011103,0.119539,0.716408,0.071829,0.156506,0.155607,0.119539,0.716408,0.071829,0.156506,0.155607,0.000171,0.000124,0.000171,0.000124,0.001063,0.001063,-0.000105
p1,0.25,500,0.228,0.124199,0.123489,0.124339,0.12477,0.08972,0.498746,0.495894,0.499308,0.501037,0.360289,57.19106,57.244912,57.185097,57.172125,58.60422,51.153463,51.207314,51.147499,51.134528,52.566622,0.99936,0.999539,0.99936,0.999539,0.002996,0.007974,0.001595,0.00408,0.002647,0.012029,0.032022,0.006407,0.016383,0.010628,0.116492,0.731918,0.058429,0.147077,0.150157,0.116492,0.731918,0.058429,0.147077,0.150157,0.000413,0.000277,0.000413,0.000277,-0.000446,-0.000446,-0.00021
p1,0.5,500,0.244,0.248377,0.246901,0.248666,0.249565,0.179439,0.498703,0.495739,0.499282,0.501086,0.360286,54.181069,54.236209,54.174947,54.161358,55.593831,51.153771,51.208912,51.147649,51.13406,52.566533,0.998866,0.999263,0.998866,0.999263,0.005847,0.015834,0.002817,0.008113,0.005132,0.01174,0.031793,0.005656,0.01629,0.010305,0.113615,0.739813,0.052449,0.145922,0.146291,0.113615,0.739813,0.052449,0.145922,0.146291,0.000805,0.000446,0.000805,0.000446,0.000748,0.000748,-0.000286
p1,1.0,500,0.252,0.496853,0.493985,0.497516,0.499059,0.358995,0.498802,0.495922,0.499467,0.501016,0.360403,51.169911,51.223724,51.163007,51.151674,52.582114,51.152913,51.206726,51.146009,51.134676,52.565116,0.998318,0.999261,0.998318,0.999261,0.011723,0.031541,0.005356,0.016222,0.010232,0.011769,0.031664,0.005377,0.016285,0.010273,0.113914,0.729682,0.050085,0.146127,0.146082,0.113914,0.729682,0.050085,0.146127,0.146082,0.001685,0.00048,0.001685,0.00048,-0.000784,-0.000784,-0.0
p2,0.05,500,0.0,0.024932,0.024904,0.024927,0.024965,0.011307,0.500597,0.500036,0.500496,0.501258,0.227031,64.163679,64.168794,64.164764,64.160121,67.598046,51.136381,51.141496,51.137466,51.132824,54.570748,0.999872,0.999939,0.996737,0.998431,0.000363,0.000449,0.000439,0.000883,0.000215,0.007296,0.00902,0.008806,0.017733,0.004323,0.063004,0.078335,0.076327,0.150343,0.082665,0.063004,0.078335,0.076327,0.150343,0.082665,9.4e-05,3.8e-05,0.002468,0.00098,-0.01484,-0.014841,-5e-05
p2,0.1,500,0.0,0.04984,0.049798,0.049803,0.049921,0.022447,0.500359,0.499931,0.49998,0.501167,0.225355,61.15529,61.159061,61.158607,61.149859,64.619673,51.138292,51.142063,51.141609,51.132861,54.602675,0.99971,0.999861,0.996789,0.998465,0.000597,0.000644,0.000619,0.001484,0.000357,0.005998,0.006462,0.006212,0.014894,0.003583,0.051823,0.056192,0.053967,0.127324,0.068793,0.051823,0.056192,0.053967,0.127324,0.068793,0.000208,8.6e-05,0.002331,0.000953,-0.015578,-0.015578,-0.000121
p2,0.25,500,0.0,0.124638,0.124523,0.124473,0.124917,0.055556,0.500505,0.500044,0.499846,0.501626,0.223095,57.174517,57.178444,57.180174,57.166054,60.683888,51.13692,51.140846,51.142576,51.128456,54.64629,0.999244,0.999641,0.99689,0.998525,0.001211,0.000959,0.000973,0.003288,0.000734,0.004864,0.003852,0.003906,0.013205,0.002948,0.04189,0.033474,0.033923,0.111385,0.05716,0.04189,0.033474,0.033923,0.111385,0.05716,0.000533,0.000221,0.0022,0.00091,-0.016989,-0.016989,-0.000326
p2,0.5,500,0.0,0.24931,0.249081,0.249034,0.249815,0.111192,0.500576,0.500115,0.500021,0.50159,0.223256,54.163564,54.167466,54.168278,54.155822,57.670478,51.136266,51.140168,51.14098,51.128524,54.64318,0.998503,0.999291,0.997003,0.99858,0.002157,0.001381,0.001336,0.006092,0.001462,0.004331,0.002774,0.002682,0.012232,0.002935,0.036967,0.024093,0.023299,0.100785,0.059897,0.036967,0.024093,0.023299,0.100785,0.059897,0.001067,0.000433,0.002137,0.000867,-0.016757,-0.016757,-0.000649
p2,1.0,500,0.0,0.498656,0.497945,0.498062,0.499962,0.222891,0.500612,0.499898,0.500015,0.501922,0.223765,51.152939,51.159025,51.158006,51.142651,54.6503,51.135941,51.142028,51.141008,51.125653,54.633302,0.997031,0.998604,0.997031,0.998604,0.004167,0.002032,0.001926,0.012392,0.002947,0.004184,0.00204,0.001933,0.012441,0.002959,0.03542,0.017725,0.016793,0.100458,0.061299,0.03542,0.017725,0.016793,0.100458,0.061299,0.002195,0.000835,0.002195,0.000835,-0.017756,-0.017756,-0.001287
p3,0.05,500,0.106,0.022064,0.024773,0.024896,0.016522,0.017018,0.443008,0.497409,0.499875,0.331738,0.341702,64.695266,64.199751,64.170455,65.956297,65.823479,51.667968,51.172453,51.143157,52.928999,52.796181,0.999929,0.999961,0.998337,0.999182,0.000509,0.001194,0.000521,0.000723,0.000474,0.010228,0.023979,0.010455,0.014522,0.009516,0.107942,0.324104,0.092135,0.257922,0.129868,0.107942,0.324104,0.092135,0.257922,0.129868,4.9e-05,2.5e-05,0.001214,0.00054,0.516747,0.516746,7e-06
p3,0.1,500,0.12,0.044111,0.049494,0.049785,0.033053,0.034024,0.442838,0.496878,0.499807,0.331829,0.34157,61.686698,61.194356,61.16033,62.943865,62.814671,51.669701,51.177358,51.143332,52.926867,52.797673,0.999847,0.99992,0.99836,0.999192,0.001032,0.002387,0.000783,0.001335,0.000882,0.010359,0.023963,0.007857,0.013401,0.008856,0.111548,0.331003,0.069738,0.236005,0.124577,0.111548,0.331003,0.069738,0.236005,0.124577,0.000107,5.2e-05,0.001165,0.000532,0.51583,0.515831,1.6e-05
p3,0.25,500,0.166,0.110222,0.123676,0.12428,0.082711,0.084977,0.442617,0.496643,0.499068,0.332141,0.34124,57.709728,57.22222,57.187287,58.958578,58.839814,51.67213,51.184622,51.149689,52.92098,52.802216,0.999607,0.999804,0.998406,0.999222,0.002761,0.006756,0.001785,0.002812,0.002352,0.011089,0.027129,0.007169,0.011292,0.009444,0.123285,0.440605,0.066037,0.185955,0.138791,0.123285,0.440605,0.066037,0.185955,0.138791,0.000277,0.000129,0.00113,0.000515,0.518222,0.518221,3.7e-05
p3,0.5,500,0.206,0.220467,0.247238,0.248676,0.165487,0.169976,0.442663,0.496416,0.499303,0.332271,0.341286,54.69905,54.221398,54.174754,55.945292,55.829025,51.671752,51.1941,51.147456,52.917994,52.801727,0.999225,0.999619,0.998458,0.999251,0.005584,0.014778,0.002795,0.004625,0.00474,0.011211,0.029671,0.005611,0.009286,0.009516,0.126931,0.582006,0.051463,0.143549,0.143027,0.126931,0.582006,0.051463,0.143549,0.143027,0.000559,0.000249,0.001115,0.000491,0.518729,0.518729,7.3e-05
p3,1.0,500,0.258,0.440842,0.493789,0.497484,0.331253,0.339862,0.442571,0.495726,0.499435,0.332552,0.341195,51.689918,51.225507,51.163282,52.930548,52.820213,51.67292,51.208509,51.146284,52.91355,52.803216,0.998477,0.999266,0.998477,0.999266,0.011881,0.031658,0.0053,0.007517,0.010083,0.011928,0.031782,0.005321,0.007546,0.010122,0.13714,0.72958,0.04949,0.113228,0.15466,0.13714,0.72958,0.04949,0.113228,0.15466,0.001121,0.000473,0.001121,0.000473,0.519223,0.519223,0.000159
all,0.05,500,0.0,0.022132,0.0249,0.02488,0.016614,0.011168,0.444366,0.499949,0.499556,0.333593,0.224234,64.680949,64.169492,64.172903,65.926925,67.652271,51.653651,51.142195,51.145606,52.899628,54.624974,0.999871,0.999929,0.999871,0.999929,0.00024,0.00043,0.000429,0.000354,0.000256,0.004822,0.00864,0.00862,0.007105,0.00515,0.047136,0.075119,0.074979,0.092655,0.102391,0.047136,0.075119,0.074979,0.092655,0.102391,8e-05,4.2e-05,8e-05,4.2e-05,0.50243,0.502429,-5.1e-05
all,0.1,500,0.0,0.044276,0.049808,0.049829,0.033191,0.022228,0.444497,0.500036,0.500248,0.333208,0.223149,61.669239,61.15811,61.156307,62.921093,64.662609,51.652241,51.141112,51.139309,52.904095,54.645611,0.999741,0.99986,0.999741,0.99986,0.00034,0.000604,0.000639,0.000475,0.000401,0.003412,0.006059,0.006416,0.004771,0.004026,0.033349,0.052722,0.055801,0.062243,0.081804,0.033349,0.052722,0.055801,0.062243,0.081804,0.00016,8.4e-05,0.00016,8.4e-05,0.498371,0.498371,-9e-05
all,0.25,500,0.0,0.110694,0.124534,0.124532,0.083016,0.054997,0.444512,0.500089,0.500081,0.333366,0.220853,57.68962,57.178062,57.178131,58.939396,60.727923,51.652022,51.140465,51.140533,52.901799,54.690325,0.999353,0.999653,0.999353,0.999653,0.000544,0.000978,0.000975,0.000805,0.00084,0.002185,0.003926,0.003914,0.003231,0.003374,0.021336,0.034089,0.033974,0.042078,0.070509,0.021336,0.034089,0.033974,0.042078,0.070509,0.000402,0.000207,0.000402,0.000207,0.498114,0.498113,-0.000217
all,0.5,500,0.0,0.221341,0.248993,0.249001,0.16603,0.11012,0.444419,0.499938,0.499955,0.333363,0.221104,54.680204,54.169002,54.168872,55.929036,57.712594,51.652907,51.141705,51.141574,52.901738,54.685296,0.998703,0.999308,0.998703,0.999308,0.000747,0.001347,0.001479,0.001162,0.001512,0.0015,0.002704,0.00297,0.002333,0.003035,0.014662,0.023484,0.025804,0.030398,0.064317,0.014662,0.023484,0.025804,0.030398,0.064317,0.000814,0.000414,0.000814,0.000414,0.499883,0.499884,-0.000449
all,1.0,500,0.0,0.442636,0.497975,0.498031,0.331902,0.220652,0.444372,0.499928,0.499984,0.333204,0.221518,51.670349,51.158761,51.158271,52.92076,54.694103,51.653351,51.141764,51.141273,52.903762,54.677105,0.997386,0.998616,0.997386,0.998616,0.001033,0.001892,0.0019,0.001666,0.002787,0.001037,0.001899,0.001907,0.001672,0.002797,0.010138,0.0165,0.016569,0.021794,0.059754,0.010138,0.0165,0.016569,0.021794,0.059754,0.001681,0.000828,0.001681,0.000828,0.499654,0.499654,-0.000932
p13,0.05,500,0.174,0.022038,0.024692,0.024852,0.016569,0.016981,0.44248,0.495771,0.498991,0.332678,0.340947,64.701406,64.234875,64.178065,65.940156,65.834287,51.674108,51.207577,51.150767,52.912858,52.806989,0.999876,0.999898,0.999876,0.999898,0.000646,0.001657,0.000496,0.000511,0.000581,0.012963,0.033275,0.009962,0.010262,0.011663,0.146254,0.701092,0.088529,0.145074,0.171175,0.146254,0.701092,0.088529,0.145074,0.171175,7.6e-05,6.1e-05,7.6e-05,6.1e-05,0.522887,0.522886,-4.6e-05
p13,0.1,500,0.194,0.044089,0.049393,0.049775,0.033098,0.033997,0.442616,0.495867,0.499703,0.332276,0.341308,61.689557,61.224342,61.161247,62.93451,62.819091,51.672559,51.207344,51.144249,52.917512,52.802093,0.999757,0.999803,0.999757,0.999803,0.00122,0.00322,0.000791,0.000866,0.001086,0.012249,0.032322,0.00794,0.008698,0.010902,0.13946,0.724861,0.070998,0.126049,0.163596,0.13946,0.724861,0.070998,0.126049,0.163596,0.00015,0.000118,0.00015,0.000118,0.518689,0.518689,-7.4e-05
p13,0.25,500,0.224,0.110223,0.123496,0.124392,0.082782,0.084994,0.442622,0.495922,0.499519,0.332425,0.341309,57.710055,57.24457,57.183249,58.953045,58.839408,51.672457,51.206972,51.145652,52.915447,52.80181,0.999432,0.999561,0.999432,0.999561,0.003007,0.008001,0.001567,0.002057,0.002564,0.012076,0.032131,0.006291,0.008262,0.010296,0.138328,0.728499,0.057416,0.122634,0.155998,0.138328,0.728499,0.057416,0.122634,0.155998,0.000353,0.000264,0.000353,0.000264,0.518549,0.518548,-0.000138
p13,0.5,500,0.246,0.220397,0.246908,0.248723,0.165561,0.169944,0.442524,0.495752,0.499397,0.332421,0.341222,54.700681,54.235659,54.173962,55.942631,55.830179,51.673383,51.208361,51.146664,52.915333,52.802881,0.998989,0.999293,0.998989,0.999293,0.005942,0.015865,0.002913,0.003892,0.005065,0.011931,0.031854,0.00585,0.007815,0.010169,0.136982,0.729109,0.054126,0.11598,0.154914,0.136982,0.729109,0.054126,0.11598,0.154914,0.000645,0.000427,0.000645,0.000427,0.52036,0.52036,-0.000163
p13,1.0,500,0.252,0.440748,0.493804,0.497472,0.330966,0.339837,0.442476,0.495741,0.499423,0.332264,0.34117,51.690818,51.225391,51.163402,52.934341,52.820487,51.67382,51.208393,51.146404,52.917343,52.803489,0.998477,0.999266,0.998477,0.999266,0.011786,0.031557,0.005465,0.007611,0.009989,0.011833,0.031681,0.005487,0.007641,0.010029,0.136057,0.730869,0.051325,0.11458,0.153239,0.136057,0.730869,0.051325,0.11458,0.153239,0.00112,0.000473,0.00112,0.000473,0.520123,0.520123,0.000159
