version,family,rate,attack,metric,value,eval_set
p13,ours,0.1,rs,bias,-0.018699,test250
p13,ours,0.1,rs,pe,0.474,test250
p13,ours,0.1,rs,phat,0.081301,test250
p13,ours,0.25,rs,auc,0.51816,test250
p13,ours,0.25,rs,bias,-0.177517,test250
p13,ours,0.25,rs,pe,0.466,test250
p13,ours,0.25,rs,phat,0.072483,test250
p13,ours,0.5,rs,auc,0.495104,test250
p13,ours,0.5,rs,bias,-0.439625,test250
p13,ours,0.5,rs,pe,0.472,test250
p13,ours,0.5,rs,phat,0.060375,test250
p13,ours,1.0,rs,auc,0.499072,test250
p13,ours,1.0,rs,bias,-0.950366,test250
p13,ours,1.0,rs,pe,0.466,test250
p13,ours,1.0,rs,phat,0.049634,test250
p13,ours,0.05,spa,auc,0.501072,test250
p13,ours,0.05,spa,bias,-0.008039,test250
p13,ours,0.05,spa,pe,0.482,test250
p13,ours,0.05,spa,phat,0.041961,test250
p13,ours,0.1,spa,auc,0.513648,test250
p13,ours,0.1,spa,bias,-0.056521,test250
p13,ours,0.1,spa,pe,0.478,test250
p13,ours,0.1,spa,phat,0.043479,test250
p13,ours,0.25,spa,auc,0.522752,test250
p13,ours,0.25,spa,bias,-0.205806,test250
p13,ours,0.25,spa,pe,0.462,test250
p13,ours,0.25,spa,phat,0.044194,test250
p13,ours,0.5,spa,auc,0.516592,test250
p13,ours,0.5,spa,bias,-0.457985,test250
p13,ours,0.5,spa,pe,0.46,test250
p13,ours,0.5,spa,phat,0.042015,test250
p13,ours,1.0,spa,auc,0.517744,test250
p13,ours,1.0,spa,bias,-0.953827,test250
p13,ours,1.0,spa,pe,0.466,test250
p13,ours,1.0,spa,phat,0.046173,test250
p13,ours,0.05,stegexpose,auc,0.506656,test250
p13,ours,0.05,stegexpose,pe,0.468,test250
p13,ours,0.1,stegexpose,auc,0.514176,test250
p13,ours,0.1,stegexpose,pe,0.47,test250
p13,ours,0.25,stegexpose,auc,0.521968,test250
p13,ours,0.25,stegexpose,pe,0.462,test250
p13,ours,0.5,stegexpose,auc,0.535792,test250
p13,ours,0.5,stegexpose,pe,0.458,test250
p13,ours,1.0,stegexpose,auc,0.550176,test250
p13,ours,1.0,stegexpose,pe,0.438,test250
all,ours,0.05,chi2,auc,0.50456,test250
all,ours,0.05,chi2,auc_b,0.502496,test250
all,ours,0.05,chi2,pe,0.484,test250
all,ours,0.1,chi2,auc,0.509584,test250
all,ours,0.1,chi2,auc_b,0.506816,test250
all,ours,0.1,chi2,pe,0.482,test250
all,ours,0.25,chi2,auc,0.524624,test250
all,ours,0.25,chi2,auc_b,0.515168,test250
all,ours,0.25,chi2,pe,0.47,test250
all,ours,0.5,chi2,auc,0.55488,test250
all,ours,0.5,chi2,auc_b,0.536656,test250
all,ours,0.5,chi2,pe,0.446,test250
all,ours,1.0,chi2,auc,0.626288,test250
all,ours,1.0,chi2,auc_b,0.587296,test250
all,ours,1.0,chi2,pe,0.396,test250
all,ours,0.05,imperceptibility,mse_global,0.022132,
all,ours,0.05,imperceptibility,psnr_global,64.680949,
all,ours,0.05,imperceptibility,psnr_region,51.653651,
all,ours,0.05,imperceptibility,roundtrip_fail,0.0,
all,ours,0.05,imperceptibility,ssim_global,0.999871,
all,ours,0.1,imperceptibility,mse_global,0.044276,
all,ours,0.1,imperceptibility,psnr_global,61.669239,
all,ours,0.1,imperceptibility,psnr_region,51.652241,
all,ours,0.1,imperceptibility,roundtrip_fail,0.0,
all,ours,0.1,imperceptibility,ssim_global,0.999741,
all,ours,0.25,imperceptibility,mse_global,0.110694,
all,ours,0.25,imperceptibility,psnr_global,57.68962,
all,ours,0.25,imperceptibility,psnr_region,51.652022,
all,ours,0.25,imperceptibility,roundtrip_fail,0.0,
all,ours,0.25,imperceptibility,ssim_global,0.999353,
all,ours,0.5,imperceptibility,mse_global,0.221341,
all,ours,0.5,imperceptibility,psnr_global,54.680204,
all,ours,0.5,imperceptibility,psnr_region,51.652907,
all,ours,0.5,imperceptibility,roundtrip_fail,0.0,
all,ours,0.5,imperceptibility,ssim_global,0.998703,
all,ours,1.0,imperceptibility,mse_global,0.442636,
all,ours,1.0,imperceptibility,psnr_global,51.670349,
all,ours,1.0,imperceptibility,psnr_region,51.653351,
all,ours,1.0,imperceptibility,roundtrip_fail,0.0,
all,ours,1.0,imperceptibility,ssim_global,0.997386,
all,ours,0.05,ml,auc,0.629886,cv10
all,ours,0.05,ml,pe,0.4002,cv10
all,ours,0.1,ml,auc,0.728898,cv10
all,ours,0.1,ml,pe,0.3252,cv10
all,ours,0.25,ml,auc,0.864966,cv10
all,ours,0.25,ml,pe,0.215,cv10
all,ours,0.5,ml,auc,0.930997,cv10
all,ours,0.5,ml,pe,0.148,cv10
all,ours,1.0,ml,auc,0.97257,cv10
all,ours,1.0,ml,pe,0.0856,cv10
all,ours,0.05,rs,auc,0.503776,test250
all,ours,0.05,rs,bias,0.032992,test250
all,ours,0.05,rs,pe,0.478,test250
all,ours,0.05,rs,phat,0.082992,test250
all,ours,0.1,rs,auc,0.515456,test250
all,ours,0.1,rs,bias,-0.017585,test250
all,ours,0.1,rs,pe,0.47,test250
all,ours,0.1,rs,phat,0.082415,test250
all,ours,0.25,rs,auc,0.50784,test250
all,ours,0.25,rs,bias,-0.176399,test250
all,ours,0.25,rs,pe,0.478,test250
all,ours,0.25,rs,phat,0.073601,test250
all,ours,0.5,rs,auc,0.49664,test250
all,ours,0.5,rs,bias,-0.439949,test250
all,ours,0.5,rs,pe,0.476,test250
all,ours,0.5,rs,phat,0.060051,test250
all,ours,1.0,rs,auc,0.51368,test250
all,ours,1.0,rs,bias,-0.943179,test250
all,ours,1.0,rs,pe,0.472,test250
all,ours,1.0,rs,phat,0.056821,test250
all,ours,0.05,spa,auc,0.501152,test250
all,ours,0.05,spa,bias,-0.00771,test250
all,ours,0.05,spa,pe,0.484,test250
all,ours,0.05,spa,phat,0.04229,test250
all,ours,0.1,spa,auc,0.513904,test250
all,ours,0.1,spa,bias,-0.056074,test250
all,ours,0.1,spa,pe,0.476,test250
all,ours,0.1,spa,phat,0.043926,test250
all,ours,0.25,spa,auc,0.521632,test250
all,ours,0.25,spa,bias,-0.204767,test250
all,ours,0.25,spa,pe,0.46,test250
all,ours,0.25,spa,phat,0.045233,test250
all,ours,0.5,spa,auc,0.511488,test250
all,ours,0.5,spa,bias,-0.455208,test250
all,ours,0.5,spa,pe,0.464,test250
all,ours,0.5,spa,phat,0.044792,test250
all,ours,1.0,spa,auc,0.533088,test250
all,ours,1.0,spa,bias,-0.943046,test250
all,ours,1.0,spa,pe,0.452,test250
all,ours,1.0,spa,phat,0.056954,test250
all,ours,0.05,stegexpose,auc,0.508128,test250
all,ours,0.05,stegexpose,pe,0.472,test250
all,ours,0.1,stegexpose,auc,0.512384,test250
all,ours,0.1,stegexpose,pe,0.474,test250
all,ours,0.25,stegexpose,auc,0.517776,test250
all,ours,0.25,stegexpose,pe,0.47,test250
all,ours,0.5,stegexpose,auc,0.527264,test250
all,ours,0.5,stegexpose,pe,0.464,test250
all,ours,1.0,stegexpose,auc,0.547792,test250
all,ours,1.0,stegexpose,pe,0.436,test250
lsbr,reference,0.05,chi2,auc,0.516352,test250
lsbr,reference,0.05,chi2,auc_b,0.515504,test250
lsbr,reference,0.05,chi2,pe,0.47,test250
lsbr,reference,0.1,chi2,auc,0.53248,test250
lsbr,reference,0.1,chi2,auc_b,0.533024,test250
lsbr,reference,0.1,chi2,pe,0.458,test250
lsbr,reference,0.25,chi2,auc,0.583504,test250
lsbr,reference,0.25,chi2,auc_b,0.583168,test250
lsbr,reference,0.25,chi2,pe,0.414,test250
lsbr,reference,0.5,chi2,auc,0.681856,test250
lsbr,reference,0.5,chi2,auc_b,0.680912,test250
lsbr,reference,0.5,chi2,pe,0.356,test250
lsbr,reference,1.0,chi2,auc,0.955088,test250
lsbr,reference,1.0,chi2,auc_b,0.938848,test250
lsbr,reference,1.0,chi2,pe,0.106,test250
lsbr,reference,0.05,imperceptibility,mse_global,0.022135,
lsbr,reference,0.05,imperceptibility,psnr_global,64.680319,
lsbr,reference,0.05,imperceptibility,psnr_region,52.805384,
lsbr,reference,0.05,imperceptibility,ssim_global,0.999872,
lsbr,reference,0.1,imperceptibility,mse_global,0.044265,
lsbr,reference,0.1,imperceptibility,psnr_global,61.670306,
lsbr,reference,0.1,imperceptibility,psnr_region,52.70758,
lsbr,reference,0.1,imperceptibility,ssim_global,0.999743,
lsbr,reference,0.25,imperceptibility,mse_global,0.110701,
lsbr,reference,0.25,imperceptibility,psnr_global,57.689332,
lsbr,reference,0.25,imperceptibility,psnr_region,52.412623,
lsbr,reference,0.25,imperceptibility,ssim_global,0.999356,
lsbr,reference,0.5,imperceptibility,mse_global,0.221352,
lsbr,reference,0.5,imperceptibility,psnr_global,54.68,
lsbr,reference,0.5,imperceptibility,psnr_region,51.90563,
lsbr,reference,0.5,imperceptibility,ssim_global,0.998707,
lsbr,reference,1.0,imperceptibility,mse_global,0.442662,
lsbr,reference,1.0,imperceptibility,psnr_global,51.670093,
lsbr,reference,1.0,imperceptibility,psnr_region,50.844108,
lsbr,reference,1.0,imperceptibility,ssim_global,0.997397,
lsbr,reference,0.05,ml,auc,0.66896,cv10
lsbr,reference,0.05,ml,pe,0.3732,cv10
lsbr,reference,0.1,ml,auc,0.773573,cv10
lsbr,reference,0.1,ml,pe,0.2978,cv10
lsbr,reference,0.25,ml,auc,0.891925,cv10
lsbr,reference,0.25,ml,pe,0.1882,cv10
lsbr,reference,0.5,ml,auc,0.943866,cv10
lsbr,reference,0.5,ml,pe,0.1278,cv10
lsbr,reference,1.0,ml,auc,0.975826,cv10
lsbr,reference,1.0,ml,pe,0.0802,cv10
lsbr,reference,0.05,rs,auc,0.756,test250
lsbr,reference,0.05,rs,bias,0.084307,test250
lsbr,reference,0.05,rs,pe,0.212,test250
lsbr,reference,0.05,rs,phat,0.128578,test250
lsbr,reference,0.1,rs,auc,0.839632,test250
lsbr,reference,0.1,rs,bias,0.080698,test250
lsbr,reference,0.1,rs,pe,0.134,test250
lsbr,reference,0.1,rs,phat,0.16924,test250
lsbr,reference,0.25,rs,auc,0.91344,test250
lsbr,reference,0.25,rs,bias,0.073634,test250
lsbr,reference,0.25,rs,pe,0.07,test250
lsbr,reference,0.25,rs,phat,0.294988,test250
lsbr,reference,0.5,rs,auc,0.94136,test250
lsbr,reference,0.5,rs,bias,-0.006803,test250
lsbr,reference,0.5,rs,pe,0.04,test250
lsbr,reference,0.5,rs,phat,0.435906,test250
lsbr,reference,1.0,rs,auc,0.969104,test250
lsbr,reference,1.0,rs,bias,-0.003329,test250
lsbr,reference,1.0,rs,pe,0.02,test250
lsbr,reference,1.0,rs,phat,0.882088,test250
lsbr,reference,0.05,spa,auc,0.7536,test250
lsbr,reference,0.05,spa,bias,0.039466,test250
lsbr,reference,0.05,spa,pe,0.226,test250
lsbr,reference,0.05,spa,phat,0.083737,test250
lsbr,reference,0.1,spa,auc,0.837088,test250
lsbr,reference,0.1,spa,bias,0.038014,test250
lsbr,reference,0.1,spa,pe,0.146,test250
lsbr,reference,0.1,spa,phat,0.126556,test250
lsbr,reference,0.25,spa,auc,0.926896,test250
lsbr,reference,0.25,spa,bias,0.033343,test250
lsbr,reference,0.25,spa,pe,0.066,test250
lsbr,reference,0.25,spa,phat,0.254697,test250
lsbr,reference,0.5,spa,auc,0.984608,test250
lsbr,reference,0.5,spa,bias,0.022048,test250
lsbr,reference,0.5,spa,pe,0.02,test250
lsbr,reference,0.5,spa,phat,0.464756,test250
lsbr,reference,1.0,spa,auc,1.0,test250
lsbr,reference,1.0,spa,bias,-0.000602,test250
lsbr,reference,1.0,spa,pe,0.0,test250
lsbr,reference,1.0,spa,phat,0.884815,test250
lsbr,reference,0.05,stegexpose,auc,0.7024,test250
lsbr,reference,0.05,stegexpose,pe,0.286,test250
lsbr,reference,0.1,stegexpose,auc,0.8412,test250
lsbr,reference,0.1,stegexpose,pe,0.172,test250
lsbr,reference,0.25,stegexpose,auc,0.927472,test250
lsbr,reference,0.25,stegexpose,pe,0.06,test250
lsbr,reference,0.5,stegexpose,auc,0.977408,test250
lsbr,reference,0.5,stegexpose,pe,0.022,test250
lsbr,reference,1.0,stegexpose,auc,0.988592,test250
lsbr,reference,1.0,stegexpose,pe,0.018,test250
lsbm,reference,0.05,chi2,auc,0.503344,test250
lsbm,reference,0.05,chi2,auc_b,0.502784,test250
lsbm,reference,0.05,chi2,pe,0.488,test250
lsbm,reference,0.1,chi2,auc,0.50912,test250
lsbm,reference,0.1,chi2,auc_b,0.508784,test250
lsbm,reference,0.1,chi2,pe,0.484,test250
lsbm,reference,0.25,chi2,auc,0.52552,test250
lsbm,reference,0.25,chi2,auc_b,0.520224,test250
lsbm,reference,0.25,chi2,pe,0.466,test250
lsbm,reference,0.5,chi2,auc,0.557264,test250
lsbm,reference,0.5,chi2,auc_b,0.550912,test250
lsbm,reference,0.5,chi2,pe,0.444,test250
lsbm,reference,1.0,chi2,auc,0.647824,test250
lsbm,reference,1.0,chi2,auc_b,0.639968,test250
lsbm,reference,1.0,chi2,pe,0.384,test250
lsbm,reference,0.05,imperceptibility,mse_global,0.022135,
lsbm,reference,0.05,imperceptibility,psnr_global,64.680319,
lsbm,reference,0.05,imperceptibility,psnr_region,52.805384,
lsbm,reference,0.05,imperceptibility,ssim_global,0.999872,
lsbm,reference,0.1,imperceptibility,mse_global,0.044265,
lsbm,reference,0.1,imperceptibility,psnr_global,61.670306,
lsbm,reference,0.1,imperceptibility,psnr_region,52.70758,
lsbm,reference,0.1,imperceptibility,ssim_global,0.999743,
lsbm,reference,0.25,imperceptibility,mse_global,0.110701,
lsbm,reference,0.25,imperceptibility,psnr_global,57.689332,
lsbm,reference,0.25,imperceptibility,psnr_region,52.412623,
lsbm,reference,0.25,imperceptibility,ssim_global,0.999354,
lsbm,reference,0.5,imperceptibility,mse_global,0.221352,
lsbm,reference,0.5,imperceptibility,psnr_global,54.68,
lsbm,reference,0.5,imperceptibility,psnr_region,51.90563,
lsbm,reference,0.5,imperceptibility,ssim_global,0.998702,
lsbm,reference,1.0,imperceptibility,mse_global,0.442662,
lsbm,reference,1.0,imperceptibility,psnr_global,51.670093,
lsbm,reference,1.0,imperceptibility,psnr_region,50.844108,
lsbm,reference,1.0,imperceptibility,ssim_global,0.997377,
lsbm,reference,0.05,ml,auc,0.671464,cv10
lsbm,reference,0.05,ml,pe,0.3744,cv10
lsbm,reference,0.1,ml,auc,0.77493,cv10
lsbm,reference,0.1,ml,pe,0.2984,cv10
lsbm,reference,0.25,ml,auc,0.888899,cv10
lsbm,reference,0.25,ml,pe,0.192,cv10
lsbm,reference,0.5,ml,auc,0.938365,cv10
lsbm,reference,0.5,ml,pe,0.1356,cv10
lsbm,reference,1.0,ml,auc,0.971173,cv10
lsbm,reference,1.0,ml,pe,0.0874,cv10
lsbm,reference,0.05,rs,auc,0.499568,test250
lsbm,reference,0.05,rs,bias,0.038957,test250
lsbm,reference,0.05,rs,pe,0.484,test250
lsbm,reference,0.05,rs,phat,0.083228,test250
lsbm,reference,0.1,rs,auc,0.489984,test250
lsbm,reference,0.1,rs,bias,-0.007217,test250
lsbm,reference,0.1,rs,pe,0.466,test250
lsbm,reference,0.1,rs,phat,0.081325,test250
lsbm,reference,0.25,rs,auc,0.495072,test250
lsbm,reference,0.25,rs,bias,-0.144702,test250
lsbm,reference,0.25,rs,pe,0.476,test250
lsbm,reference,0.25,rs,phat,0.076653,test250
lsbm,reference,0.5,rs,auc,0.502992,test250
lsbm,reference,0.5,rs,bias,-0.374424,test250
lsbm,reference,0.5,rs,pe,0.472,test250
lsbm,reference,0.5,rs,phat,0.068284,test250
lsbm,reference,1.0,rs,auc,0.471024,test250
lsbm,reference,1.0,rs,bias,-0.841599,test250
lsbm,reference,1.0,rs,pe,0.466,test250
lsbm,reference,1.0,rs,phat,0.043818,test250
lsbm,reference,0.05,spa,auc,0.502768,test250
lsbm,reference,0.05,spa,bias,-0.001794,test250
lsbm,reference,0.05,spa,pe,0.482,test250
lsbm,reference,0.05,spa,phat,0.042477,test250
lsbm,reference,0.1,spa,auc,0.50368,test250
lsbm,reference,0.1,spa,bias,-0.044403,test250
lsbm,reference,0.1,spa,pe,0.48,test250
lsbm,reference,0.1,spa,phat,0.044139,test250
lsbm,reference,0.25,spa,auc,0.509264,test250
lsbm,reference,0.25,spa,bias,-0.173028,test250
lsbm,reference,0.25,spa,pe,0.48,test250
lsbm,reference,0.25,spa,phat,0.048327,test250
lsbm,reference,0.5,spa,auc,0.513936,test250
lsbm,reference,0.5,spa,bias,-0.393467,test250
lsbm,reference,0.5,spa,pe,0.476,test250
lsbm,reference,0.5,spa,phat,0.049241,test250
lsbm,reference,1.0,spa,auc,0.518544,test250
lsbm,reference,1.0,spa,bias,-0.839323,test250
lsbm,reference,1.0,spa,pe,0.458,test250
lsbm,reference,1.0,spa,phat,0.046093,test250
lsbm,reference,0.05,stegexpose,auc,0.504288,test250
lsbm,reference,0.05,stegexpose,pe,0.48,test250
lsbm,reference,0.1,stegexpose,auc,0.509792,test250
lsbm,reference,0.1,stegexpose,pe,0.476,test250
lsbm,reference,0.25,stegexpose,auc,0.511552,test250
lsbm,reference,0.25,stegexpose,pe,0.468,test250
lsbm,reference,0.5,stegexpose,auc,0.525856,test250
lsbm,reference,0.5,stegexpose,pe,0.454,test250
lsbm,reference,1.0,stegexpose,auc,0.519776,test250
lsbm,reference,1.0,stegexpose,pe,0.46,test250
hill,reference,0.05,chi2,auc,0.501488,test250
hill,reference,0.05,chi2,auc_b,0.50152,test250
hill,reference,0.05,chi2,pe,0.492,test250
hill,reference,0.1,chi2,auc,0.501616,test250
hill,reference,0.1,chi2,auc_b,0.501888,test250
hill,reference,0.1,chi2,pe,0.49,test250
hill,reference,0.25,chi2,auc,0.5052,test250
hill,reference,0.25,chi2,auc_b,0.506384,test250
hill,reference,0.25,chi2,pe,0.482,test250
hill,reference,0.5,chi2,auc,0.51056,test250
hill,reference,0.5,chi2,auc_b,0.509712,test250
hill,reference,0.5,chi2,pe,0.484,test250
hill,reference,1.0,chi2,auc,0.52288,test250
hill,reference,1.0,chi2,auc_b,0.522992,test250
hill,reference,1.0,chi2,pe,0.468,test250
hill,reference,0.05,imperceptibility,mse_global,0.005255,
hill,reference,0.05,imperceptibility,psnr_global,70.975579,
hill,reference,0.05,imperceptibility,psnr_region,52.79545,
hill,reference,0.05,imperceptibility,ssim_global,0.999981,
hill,reference,0.1,imperceptibility,mse_global,0.011718,
hill,reference,0.1,imperceptibility,psnr_global,67.489132,
hill,reference,0.1,imperceptibility,psnr_region,52.731966,
hill,reference,0.1,imperceptibility,ssim_global,0.999955,
hill,reference,0.25,imperceptibility,mse_global,0.034718,
hill,reference,0.25,imperceptibility,psnr_global,62.76082,
hill,reference,0.25,imperceptibility,psnr_region,52.57312,
hill,reference,0.25,imperceptibility,ssim_global,0.999857,
hill,reference,0.5,imperceptibility,mse_global,0.082203,
hill,reference,0.5,imperceptibility,psnr_global,59.013243,
hill,reference,0.5,imperceptibility,psnr_region,52.324115,
hill,reference,0.5,imperceptibility,ssim_global,0.999635,
hill,reference,1.0,imperceptibility,mse_global,0.209366,
hill,reference,1.0,imperceptibility,psnr_global,54.946489,
hill,reference,1.0,imperceptibility,psnr_region,51.765308,
hill,reference,1.0,imperceptibility,ssim_global,0.998967,
hill,reference,0.05,ml,auc,0.51232,cv10
hill,reference,0.05,ml,pe,0.4776,cv10
hill,reference,0.1,ml,auc,0.538494,cv10
hill,reference,0.1,ml,pe,0.4582,cv10
hill,reference,0.25,ml,auc,0.62683,cv10
hill,reference,0.25,ml,pe,0.4022,cv10
hill,reference,0.5,ml,auc,0.751509,cv10
hill,reference,0.5,ml,pe,0.3132,cv10
hill,reference,1.0,ml,auc,0.883202,cv10
hill,reference,1.0,ml,pe,0.1988,cv10
hill,reference,0.05,rs,auc,0.497536,test250
hill,reference,0.05,rs,bias,0.038497,test250
hill,reference,0.05,rs,pe,0.486,test250
hill,reference,0.05,rs,phat,0.082768,test250
hill,reference,0.1,rs,auc,0.502768,test250
hill,reference,0.1,rs,bias,-0.003817,test250
hill,reference,0.1,rs,pe,0.478,test250
hill,reference,0.1,rs,phat,0.084725,test250
hill,reference,0.25,rs,auc,0.497968,test250
hill,reference,0.25,rs,bias,-0.140439,test250
hill,reference,0.25,rs,pe,0.484,test250
hill,reference,0.25,rs,phat,0.080915,test250
hill,reference,0.5,rs,auc,0.487296,test250
hill,reference,0.5,rs,bias,-0.363908,test250
hill,reference,0.5,rs,pe,0.47,test250
hill,reference,0.5,rs,phat,0.078801,test250
hill,reference,1.0,rs,auc,0.493424,test250
hill,reference,1.0,rs,bias,-0.809542,test250
hill,reference,1.0,rs,pe,0.474,test250
hill,reference,1.0,rs,phat,0.075875,test250
hill,reference,0.05,spa,auc,0.498416,test250
hill,reference,0.05,spa,bias,-0.002241,test250
hill,reference,0.05,spa,pe,0.484,test250
hill,reference,0.05,spa,phat,0.042029,test250
hill,reference,0.1,spa,auc,0.498576,test250
hill,reference,0.1,spa,bias,-0.04617,test250
hill,reference,0.1,spa,pe,0.484,test250
hill,reference,0.1,spa,phat,0.042372,test250
hill,reference,0.25,spa,auc,0.508032,test250
hill,reference,0.25,spa,bias,-0.17871,test250
hill,reference,0.25,spa,pe,0.478,test250
hill,reference,0.25,spa,phat,0.042645,test250
hill,reference,0.5,spa,auc,0.500816,test250
hill,reference,0.5,spa,bias,-0.399871,test250
hill,reference,0.5,spa,pe,0.478,test250
hill,reference,0.5,spa,phat,0.042837,test250
hill,reference,1.0,spa,auc,0.523248,test250
hill,reference,1.0,spa,bias,-0.840747,test250
hill,reference,1.0,spa,pe,0.462,test250
hill,reference,1.0,spa,phat,0.04467,test250
hill,reference,0.05,stegexpose,auc,0.501696,test250
hill,reference,0.05,stegexpose,pe,0.484,test250
hill,reference,0.1,stegexpose,auc,0.504288,test250
hill,reference,0.1,stegexpose,pe,0.478,test250
hill,reference,0.25,stegexpose,auc,0.514544,test250
hill,reference,0.25,stegexpose,pe,0.464,test250
hill,reference,0.5,stegexpose,auc,0.514176,test250
hill,reference,0.5,stegexpose,pe,0.474,test250
hill,reference,1.0,stegexpose,auc,0.517472,test250
hill,reference,1.0,stegexpose,pe,0.472,test250
